State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
FL,HERNANDO,2,0,2,2.0,2.0
NY,SCHENECTADY,2,50,2,2.0,2.0
TN,WASHINGTON,2,100,2,3.5,3.5
OR,YAMHILL,2,50,2,4.0,4.0
IL,KNOX,2,0,2,3.0,3.0
MO,SAINT FRANCOIS,2,100,1,4.0,4.0
WI,OCONTO,2,100,0,4.0,4.0
TX,HARDEMAN,2,0,0,nan,nan
MN,CROW WING,2,50,1,3.5,3.5
MI,VAN BUREN,2,50,1,4.0,4.0
IA,POTTAWATTAMIE,2,100,2,3.0,3.0
OR,DESCHUTES,2,100,2,4.0,4.0
PR,MANATI,2,0,2,nan,nan
TN,SUMNER,2,0,2,2.5,2.5
KY,MCCRACKEN,2,0,2,2.5,2.5
MI,TUSCOLA,2,100,0,3.5,3.5
WV,OHIO,2,50,2,2.0,2.0
IA,PAGE,2,50,0,3.0,3.0
CA,MODOC,2,0,0,nan,nan
WA,GRAYS HARBOR,2,50,1,1.5,1.5
WI,WOOD,2,50,2,3.5,3.5
PA,MONROE,2,100,2,4.0,4.0
MN,OLMSTED,2,50,2,4.5,4.5
KS,RILEY,2,0,2,4.0,4.0
OK,CUSTER,2,0,1,3.5,3.5
OH,SCIOTO,2,50,2,3.0,3.0
NC,HALIFAX,2,100,1,3.0,3.0
MO,BUTLER,2,50,2,2.0,2.0
MO,BARRY,2,50,0,4.0,4.0
VA,PETERSBURG CITY,2,0,2,2.0,2.0
ME,KENNEBEC,2,50,2,4.0,4.0
MS,FORREST,2,50,2,2.0,2.0
PA,CRAWFORD,2,100,1,3.0,3.0
WV,MONONGALIA,2,100,2,2.5,2.5
AL,TALLAPOOSA,2,50,2,3.0,3.0
TN,GREENE,2,100,2,2.5,2.5
IL,WILLIAMSON,2,50,2,2.5,2.5
IL,SANGAMON,2,50,2,2.5,2.5
NM,SANTA FE,2,50,2,3.0,3.0
WI,MARATHON,2,50,2,4.0,4.0
GA,COLQUITT,2,0,2,2.0,2.0
VA,VIRGINIA BEACH CITY,2,0,2,3.5,3.5
TX,MCLENNAN,2,100,2,2.5,2.5
AL,ESCAMBIA,2,0,2,3.0,3.0
IA,CLAYTON,2,50,0,nan,nan
MI,SAINT JOSEPH,2,0,2,3.0,3.0
