State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
AL,CALHOUN,3,0,3,2.6666666666666665,3.0
SC,HORRY,3,66,3,2.3333333333333335,2.0
OR,COOS,3,0,1,2.5,2.5
NY,ALBANY,3,99,3,2.6666666666666665,3.0
NJ,MORRIS,3,66,3,3.0,2.0
NH,MERRIMACK,3,99,1,3.6666666666666665,4.0
TX,COLORADO,3,33,2,3.0,3.0
OK,CLEVELAND,3,0,2,4.0,4.0
AL,MONTGOMERY,3,33,3,3.0,3.0
CO,JEFFERSON,3,33,3,3.5,3.5
IL,WILL,3,66,3,3.0,3.0
PR,HUMACAO,3,33,3,nan,nan
NC,DURHAM,3,0,3,3.5,3.5
IA,DUBUQUE,3,66,2,4.0,4.0
PA,SOMERSET,3,66,2,3.3333333333333335,3.0
PA,SCHUYLKILL,3,99,3,2.6666666666666665,2.0
MN,ITASCA,3,66,1,3.5,3.5
CA,PLACER,3,33,3,4.0,4.0
AZ,GILA,3,33,2,3.5,3.5
OK,CREEK,3,33,1,3.5,3.5
NE,DAWSON,3,0,0,4.0,4.0
WI,EAU CLAIRE,3,33,3,4.666666666666667,5.0
PA,LACKAWANNA,3,33,3,1.6666666666666667,2.0
CA,SANTA CRUZ,3,33,3,3.3333333333333335,3.0
FL,CHARLOTTE,3,0,3,1.0,1.0
WI,POLK,3,99,0,4.0,4.0
WA,SKAGIT,3,0,2,2.6666666666666665,3.0
TX,BRAZORIA,3,33,2,3.0,3.0
MI,HURON,3,33,1,4.0,4.0
FL,OKALOOSA,3,33,3,3.6666666666666665,4.0
GA,BIBB,3,33,3,3.3333333333333335,3.0
PA,BLAIR,3,99,2,3.0,4.0
IA,BLACK HAWK,3,66,3,3.0,3.0
KS,MCPHERSON,3,66,2,4.0,4.0
MI,SAGINAW,3,33,3,1.5,1.5
DE,NEW CASTLE,3,99,2,4.5,4.5
WI,OUTAGAMIE,3,99,2,3.3333333333333335,3.0
AZ,COCONINO,3,33,2,3.0,3.0
CO,ARAPAHOE,3,0,3,4.333333333333333,4.0
TX,POTTER,3,33,3,3.0,3.0
SC,RICHLAND,3,66,3,3.0,3.0
AR,GARLAND,3,33,3,1.5,1.5
FL,SANTA ROSA,3,33,3,4.0,4.0
NY,ROCKLAND,3,0,3,1.5,1.5
PA,LYCOMING,3,66,1,4.0,4.0
CO,MESA,3,66,2,3.5,3.5
IL,RANDOLPH,3,0,0,3.0,3.0
LA,LAFOURCHE,3,0,1,3.3333333333333335,3.0
WI,BARRON,3,66,1,4.5,4.5
IL,LA SALLE,3,99,2,3.3333333333333335,4.0
MI,KENT,3,66,3,4.0,4.0
TX,BELL,3,66,3,3.0,3.0
NY,STEUBEN,3,33,3,3.6666666666666665,4.0
SC,FLORENCE,3,0,3,2.3333333333333335,2.0
FL,MONROE,3,66,1,3.3333333333333335,3.0
OK,OSAGE,3,0,1,2.0,2.0
WI,GRANT,3,99,0,4.0,4.0
IL,MCHENRY,3,66,2,4.0,4.0
CA,PLUMAS,3,0,0,3.0,3.0
TX,JONES,3,0,3,3.0,3.0
LA,RAPIDES,3,33,3,3.3333333333333335,3.0
OK,COMANCHE,3,0,3,1.5,1.5
KY,FLOYD,3,66,1,3.0,3.0
CA,MARIN,3,0,3,4.0,4.0
IN,WARRICK,3,33,2,4.0,4.0
IN,ST JOSEPH,3,66,3,4.0,4.0
CO,DOUGLAS,3,66,3,4.0,4.0
NY,RENSSELAER,3,99,3,2.0,2.0
MI,GENESEE,3,33,3,1.3333333333333333,1.0
MO,JASPER,3,0,2,3.0,3.0
DE,SUSSEX,3,99,3,3.6666666666666665,4.0
WI,SAUK,3,66,2,4.333333333333333,4.0
MT,FLATHEAD,3,66,2,4.333333333333333,4.0
TN,SULLIVAN,3,66,3,2.3333333333333335,3.0
MA,PLYMOUTH,3,33,3,2.6666666666666665,2.0
NY,NIAGARA,3,33,3,2.3333333333333335,2.0
TX,WICHITA,3,33,2,3.6666666666666665,4.0
KS,BARTON,3,33,1,4.0,4.0
FL,COLLIER,3,33,3,3.5,3.5
NY,ONTARIO,3,99,3,2.0,2.0
OH,DEFIANCE,3,33,1,4.333333333333333,4.0
OH,BELMONT,3,66,2,3.5,3.5
NH,COOS,3,99,0,3.3333333333333335,3.0
FL,LAKE,3,33,3,2.6666666666666665,3.0
AL,BALDWIN,3,33,3,2.6666666666666665,3.0
MT,ROOSEVELT,3,99,0,nan,nan
ME,HANCOCK,3,66,1,4.333333333333333,4.0
FL,ESCAMBIA,3,66,3,3.6666666666666665,4.0
FL,MANATEE,3,0,3,1.6666666666666667,1.0
TN,HAMILTON,3,0,3,2.3333333333333335,2.0
TX,JEFFERSON,3,33,3,1.6666666666666667,2.0
IL,WINNEBAGO,3,33,3,2.3333333333333335,2.0
HI,KAUAI,3,0,1,3.5,3.5
MN,BROWN,3,66,0,4.0,4.0
AR,WASHINGTON,3,33,3,2.5,2.5
FL,OSCEOLA,3,0,3,2.3333333333333335,2.0
TN,RUTHERFORD,3,0,3,2.5,2.5
IN,MADISON,3,66,2,3.0,3.0
NY,JEFFERSON,3,99,1,2.5,2.5
NY,ONEIDA,3,99,3,1.3333333333333333,1.0
NC,FORSYTH,3,66,3,2.5,2.5
OR,JACKSON,3,33,3,4.333333333333333,5.0
NH,ROCKINGHAM,3,33,3,3.3333333333333335,3.0
IL,PEORIA,3,66,3,2.6666666666666665,2.0
MS,NESHOBA,3,33,2,3.0,3.0
AR,BENTON,3,0,2,3.6666666666666665,4.0
WI,OZAUKEE,3,66,3,5.0,5.0
MI,SAINT CLAIR,3,33,3,3.3333333333333335,3.0
CA,SAN LUIS OBISPO,3,0,3,3.3333333333333335,4.0
OR,CLACKAMAS,3,33,3,3.6666666666666665,4.0
TX,JOHNSON,3,0,3,4.0,4.0
NY,ULSTER,3,66,2,1.5,1.5
GA,RICHMOND,4,0,4,2.75,3.0
ME,CUMBERLAND,4,75,3,4.25,4.5
KY,FAYETTE,4,25,4,3.0,3.0
CA,HUMBOLDT,4,50,2,2.5,2.5
HI,MAUI,4,25,1,3.0,3.0
NV,WASHOE,4,25,3,2.0,1.0
TX,CAMERON,4,0,4,3.75,3.5
AZ,MOHAVE,4,0,4,2.25,2.0
MN,STEARNS,4,100,1,5.0,5.0
OR,WASHINGTON,4,75,4,4.25,4.0
NY,CHAUTAUQUA,4,100,4,2.0,2.0
FL,ORANGE,4,75,3,3.0,3.0
KY,JEFFERSON,4,100,4,1.75,1.5
AZ,NAVAJO,4,50,2,5.0,5.0
WI,WINNEBAGO,4,75,3,4.333333333333333,5.0
NJ,OCEAN,4,75,4,3.25,3.5
NJ,BURLINGTON,4,75,3,2.3333333333333335,2.0
CA,BUTTE,4,75,3,3.0,4.0
PA,WASHINGTON,4,75,4,3.6666666666666665,4.0
CO,BOULDER,4,75,4,3.75,4.0
CA,SHASTA,4,25,3,3.0,3.0
LA,TANGIPAHOA,4,0,2,3.0,3.0
ME,PENOBSCOT,4,75,2,3.0,3.0
GA,DEKALB,4,50,3,2.3333333333333335,2.0
OH,BUTLER,4,100,4,3.5,3.5
OH,MAHONING,4,0,4,2.5,2.0
PA,ERIE,4,75,3,2.5,2.5
MA,BRISTOL,4,25,4,2.5,2.5
MO,SAINT CHARLES,4,50,4,2.5,2.5
OH,ALLEN,4,50,3,3.5,3.5
CA,MONTEREY,4,25,4,3.25,3.0
NJ,MERCER,4,100,4,2.25,2.0
OH,STARK,4,25,4,3.75,3.5
WA,SNOHOMISH,4,25,4,2.25,2.0
NC,WAKE,4,75,4,3.5,3.5
WI,DANE,4,75,3,4.75,5.0
TX,BRAZOS,4,50,4,4.0,4.0
WA,YAKIMA,4,50,3,3.25,3.0
NM,MCKINLEY,4,25,4,2.0,2.0
WI,WAUKESHA,4,75,4,4.0,4.0
SD,PENNINGTON,4,25,4,4.0,4.0
AZ,COCHISE,4,25,1,2.3333333333333335,2.0
FL,LEE,4,25,4,1.75,2.0
MA,NORFOLK,4,50,4,3.0,3.0
PA,LANCASTER,4,0,4,3.25,3.0
ME,AROOSTOOK,4,75,3,3.5,3.5
MI,WASHTENAW,4,50,4,4.0,4.0
WV,KANAWHA,4,50,4,3.0,3.0
NY,ORANGE,4,25,4,2.75,2.5
MI,MACOMB,4,50,4,2.0,2.0
NJ,CAMDEN,4,100,4,3.0,3.0
IA,SIOUX,4,50,0,3.5,3.5
CA,SOLANO,4,25,4,3.0,3.0
MS,LAUDERDALE,4,50,4,1.5,1.5
NE,LANCASTER,4,75,4,4.0,4.0
WI,BROWN,4,25,4,3.25,3.0
OH,LORAIN,4,100,3,3.3333333333333335,3.0
VA,FAIRFAX,4,75,4,4.5,5.0
AZ,APACHE,4,50,2,2.0,2.0
VA,NORFOLK CITY,4,50,3,4.0,4.0
WA,GRANT,4,0,1,3.0,3.0
OH,ASHTABULA,4,75,2,4.0,5.0
PR,PONCE,4,75,4,1.5,1.5
TX,SMITH,4,25,4,4.5,5.0
WA,CHELAN,4,50,2,3.5,3.5
IL,SAINT CLAIR,4,75,4,2.6666666666666665,3.0
MI,MONTCALM,4,50,2,4.0,4.0
TX,NUECES,4,50,3,3.6666666666666665,3.0
MS,RANKIN,4,0,4,3.0,3.0
NY,DELAWARE,4,100,1,3.0,3.0
PR,BAYAMON,4,0,4,2.0,2.0
WI,ROCK,4,75,3,3.0,3.0
CA,TULARE,4,25,4,1.6666666666666667,1.0
IA,POLK,4,75,4,3.0,3.0
PA,MERCER,4,50,4,3.3333333333333335,3.0
FL,SARASOTA,4,0,4,4.0,4.5
IL,KANE,5,60,5,4.4000000000000004,5.0
PA,YORK,5,80,5,3.0,3.0
TX,MONTGOMERY,5,20,5,2.3333333333333335,2.0
MA,ESSEX,5,80,5,3.7999999999999998,4.0
UT,UTAH,5,60,5,4.25,4.0
TX,LUBBOCK,5,20,4,3.5,4.0
MD,PRINCE GEORGES,5,60,5,1.8,2.0
NY,MONROE,5,80,5,2.75,3.0
MN,RAMSEY,5,80,4,3.25,3.5
LA,CALCASIEU,5,40,4,3.25,3.0
NJ,MONMOUTH,5,60,5,3.3999999999999999,3.0
WA,SPOKANE,5,40,4,3.75,4.0
NY,SAINT LAWRENCE,5,80,3,2.6666666666666665,3.0
AL,MOBILE,5,20,4,2.0,2.0
AZ,PINAL,5,20,4,3.3333333333333335,4.0
NM,BERNALILLO,5,20,5,3.0,4.0
CO,LARIMER,5,60,4,4.25,4.5
IL,MADISON,5,40,4,2.7999999999999998,3.0
FL,VOLUSIA,5,0,5,2.2000000000000002,2.0
PA,CHESTER,5,40,5,3.3999999999999999,3.0
PA,LEHIGH,5,40,5,3.0,3.0
MO,SAINT LOUIS CITY,5,20,3,1.6666666666666667,2.0
TN,KNOX,5,80,4,2.25,2.0
LA,JEFFERSON,5,60,5,3.0,3.0
CA,STANISLAUS,5,20,5,2.7999999999999998,3.0
CA,SANTA BARBARA,5,40,4,3.6000000000000001,3.0
MD,BALTIMORE,5,100,5,4.0,4.0
LA,OUACHITA,5,20,5,3.0,3.0
FL,POLK,5,40,5,1.3999999999999999,1.0
PA,DELAWARE,5,80,5,2.7999999999999998,2.0
NH,HILLSBOROUGH,5,80,4,4.4000000000000004,4.0
CO,ADAMS,5,60,4,3.6666666666666665,4.0
OR,LANE,5,80,3,3.0,3.0
NH,GRAFTON,5,80,1,3.5,3.5
MS,HINDS,5,40,5,2.25,2.5
KS,SEDGWICK,6,0,6,4.0,4.0
TX,HIDALGO,6,32,6,3.6666666666666665,4.0
IN,ALLEN,6,32,6,2.75,2.5
TX,WILLIAMSON,6,48,5,3.75,3.5
IN,HAMILTON,6,16,6,4.5,4.5
OH,SUMMIT,6,48,5,2.3333333333333335,2.0
LA,ORLEANS,6,48,5,2.3333333333333335,2.0
IL,DUPAGE,6,32,6,4.0,4.0
NJ,HUDSON,6,48,6,1.6666666666666667,2.0
CO,DENVER,6,32,6,3.6000000000000001,4.0
NY,ERIE,6,80,6,2.3333333333333335,2.0
SC,CHARLESTON,6,48,6,4.0,5.0
CT,FAIRFIELD,6,80,6,2.3333333333333335,2.0
NJ,BERGEN,6,64,6,3.3333333333333335,3.0
FL,PASCO,6,32,6,2.3333333333333335,2.0
HI,HAWAII,6,16,3,3.3333333333333335,3.0
SD,MINNEHAHA,6,48,4,4.25,4.5
MD,MONTGOMERY,6,64,6,3.1666666666666665,3.0
MA,HAMPDEN,6,80,5,3.6000000000000001,4.0
WA,PIERCE,6,32,5,2.7999999999999998,3.0
LA,CADDO,6,48,4,3.5,4.0
NY,BRONX,6,32,6,1.1666666666666667,1.0
TX,FORT BEND,6,48,6,3.3999999999999999,3.0
NJ,MIDDLESEX,6,80,5,2.0,2.0
NC,MECKLENBURG,6,32,6,3.8333333333333335,4.0
IL,LAKE,6,16,6,4.0,4.0
FL,DUVAL,7,84,7,2.7142857142857144,3.0
LA,EAST BATON ROUGE,7,42,7,2.0,2.0
SC,GREENVILLE,7,84,6,4.5,5.0
NY,QUEENS,7,56,7,1.0,1.0
PA,BUCKS,7,28,7,4.4000000000000004,4.0
CA,CONTRA COSTA,7,28,7,3.5714285714285716,3.0
OH,MONTGOMERY,7,28,6,3.3999999999999999,4.0
RI,PROVIDENCE,7,98,7,2.7142857142857144,3.0
CA,SAN MATEO,7,56,7,4.166666666666667,4.0
CA,SAN JOAQUIN,7,28,7,2.4285714285714284,3.0
OR,MULTNOMAH,7,56,6,3.5,4.0
TN,SHELBY,7,28,6,2.0,2.0
CA,VENTURA,7,42,6,2.5714285714285716,2.0
NJ,ESSEX,7,70,7,2.2857142857142856,3.0
LA,SAINT TAMMANY,7,14,7,3.25,3.0
FL,BREVARD,7,70,7,3.1428571428571428,4.0
CA,FRESNO,8,60,7,2.2000000000000002,2.0
CT,HARTFORD,8,60,7,2.6666666666666665,3.0
CT,NEW HAVEN,8,72,8,2.5714285714285716,3.0
OH,LUCAS,8,24,8,3.5,4.0
AK,,8,12,1,3.0,3.0
LA,LAFAYETTE,8,36,8,3.6666666666666665,3.5
DC,DISTRICT OF COLUMBIA,8,36,7,1.7142857142857142,2.0
GA,FULTON,8,48,7,2.4285714285714284,2.0
CA,SONOMA,8,12,7,3.5,4.0
MN,SAINT LOUIS,8,60,5,3.6000000000000001,4.0
AL,JEFFERSON,9,44,8,2.7142857142857144,3.0
MA,WORCESTER,9,44,8,2.875,3.0
IN,MARION,9,55,9,3.4285714285714284,3.0
TX,DENTON,9,22,9,3.8333333333333335,4.0
CA,SACRAMENTO,9,44,8,2.875,3.0
AZ,PIMA,9,44,9,2.5,2.5
AR,PULASKI,9,44,8,2.125,1.5
TX,EL PASO,9,11,8,2.1666666666666665,2.0
IN,LAKE,9,55,9,3.5555555555555554,4.0
NY,NASSAU,9,77,9,2.1111111111111112,2.0
TN,DAVIDSON,9,33,9,2.625,2.5
OH,FRANKLIN,10,30,9,3.875,4.0
MO,SAINT LOUIS,10,90,9,3.3333333333333335,3.0
NE,DOUGLAS,10,60,8,2.7999999999999998,3.0
PA,MONTGOMERY,10,40,10,3.0,3.0
KS,JOHNSON,10,20,9,3.6000000000000001,3.0
FL,HILLSBOROUGH,10,30,9,2.3333333333333335,2.0
CA,SANTA CLARA,10,20,9,2.7777777777777777,3.0
CA,SAN FRANCISCO,10,40,10,3.3333333333333335,3.0
MO,JACKSON,10,50,9,3.0,3.0
WI,MILWAUKEE,10,60,9,4.0,4.0
OH,HAMILTON,10,80,8,4.375,5.0
HI,HONOLULU,10,60,7,4.1428571428571432,4.0
MN,HENNEPIN,10,70,8,3.4285714285714284,3.0
CA,KERN,10,30,7,2.0,2.0
FL,PINELLAS,11,36,10,2.2000000000000002,2.0
NY,WESTCHESTER,11,81,10,2.2000000000000002,2.0
NY,SUFFOLK,11,72,11,2.4545454545454546,2.0
TX,TRAVIS,11,45,10,3.75,4.0
MA,MIDDLESEX,11,72,11,3.3636363636363638,3.0
OK,TULSA,12,32,12,3.5,4.0
FL,PALM BEACH,12,24,12,2.0,2.0
NY,KINGS,12,64,12,1.1666666666666667,1.0
MI,OAKLAND,12,64,12,3.0,3.0
UT,SALT LAKE,12,56,10,4.0,4.0
NY,NEW YORK,12,72,12,2.7000000000000002,2.5
TX,COLLIN,13,21,11,3.3999999999999999,3.5
CA,ALAMEDA,13,35,12,3.0,3.0
MA,SUFFOLK,13,70,10,3.6666666666666665,4.0
TX,BEXAR,13,14,12,3.375,3.5
MD,BALTIMORE CITY,14,56,12,2.7272727272727271,3.0
FL,BROWARD,14,0,14,2.5714285714285716,2.5
MI,WAYNE,15,54,14,2.6428571428571428,2.5
PR,SAN JUAN,16,30,15,1.5,1.5
CA,SAN DIEGO,16,18,15,3.3333333333333335,3.0
CA,RIVERSIDE,16,12,16,2.25,2.0
WA,KING,17,35,14,3.8571428571428572,4.0
PA,PHILADELPHIA,17,45,14,2.4615384615384617,2.0
OH,CUYAHOGA,17,60,15,4.333333333333333,4.0
CA,SAN BERNARDINO,18,40,15,2.3999999999999999,2.0
NV,CLARK,18,35,16,1.5333333333333334,1.0
OK,OKLAHOMA,18,20,18,3.4166666666666665,3.5
PA,ALLEGHENY,18,75,15,3.0,3.0
FL,MIAMI-DADE,21,40,20,2.1176470588235294,2.0
TX,TARRANT,23,40,22,3.5,3.0
CA,ORANGE,27,15,24,2.8999999999999999,3.0
TX,DALLAS,30,15,28,3.0952380952380953,3.0
AZ,MARICOPA,37,24,33,3.3928571428571428,3.5
TX,HARRIS,42,20,39,3.2758620689655173,3.0
IL,COOK,49,44,46,2.6666666666666665,3.0
CA,LOS ANGELES,82,25,78,2.8630136986301369,3.0
